method vars sample run_id time
Best-Logit 2 200 0 0.0270
Best-Logit 2 200 1 0.0274
Best-Logit 2 200 2 0.0274
Best-Logit 2 200 3 0.0274
Best-Logit 2 200 4 0.0270
Best-Logit 2 200 5 0.0270
Best-Logit 2 200 6 0.0267
Best-Logit 2 200 7 0.0271
Best-Logit 2 200 8 0.0267
Best-Logit 2 200 9 0.0269
Best-Logit 4 200 0 0.0745
Best-Logit 4 200 1 0.0748
Best-Logit 4 200 2 0.0754
Best-Logit 4 200 3 0.0752
Best-Logit 4 200 4 0.0752
Best-Logit 4 200 5 0.0749
Best-Logit 4 200 6 0.0755
Best-Logit 4 200 7 0.0752
Best-Logit 4 200 8 0.0739
Best-Logit 4 200 9 0.0748
Best-Logit 8 200 0 1.0242
Best-Logit 8 200 1 1.0443
Best-Logit 8 200 2 1.0493
Best-Logit 8 200 3 1.0433
Best-Logit 8 200 4 1.0448
Best-Logit 8 200 5 1.0469
Best-Logit 8 200 6 1.0449
Best-Logit 8 200 7 1.0447
Best-Logit 8 200 8 1.0476
Best-Logit 8 200 9 1.0401
Best-Logit 16 200 0 200.0000
Best-Logit 16 200 1 200.0000
Best-Logit 16 200 2 200.0000
Best-Logit 16 200 3 200.0000
Best-Logit 16 200 4 200.0000
Best-Logit 16 200 5 200.0000
Best-Logit 16 200 6 200.0000
Best-Logit 16 200 7 200.0000
Best-Logit 16 200 8 200.0000
Best-Logit 16 200 9 200.0000
Best-Logit 32 200 0 200.0000
Best-Logit 32 200 1 200.0000
Best-Logit 32 200 2 200.0000
Best-Logit 32 200 3 200.0000
Best-Logit 32 200 4 200.0000
Best-Logit 32 200 5 200.0000
Best-Logit 32 200 6 200.0000
Best-Logit 32 200 7 200.0000
Best-Logit 32 200 8 200.0000
Best-Logit 32 200 9 200.0000
Best-Logit 64 200 0 200.0000
Best-Logit 64 200 1 200.0000
Best-Logit 64 200 2 200.0000
Best-Logit 64 200 3 200.0000
Best-Logit 64 200 4 200.0000
Best-Logit 64 200 5 200.0000
Best-Logit 64 200 6 200.0000
Best-Logit 64 200 7 200.0000
Best-Logit 64 200 8 200.0000
Best-Logit 64 200 9 200.0000
Best-Logit 2 6400 0 0.0426
Best-Logit 2 6400 1 0.0414
Best-Logit 2 6400 2 0.0414
Best-Logit 2 6400 3 0.0414
Best-Logit 2 6400 4 0.0414
Best-Logit 2 6400 5 0.0414
Best-Logit 2 6400 6 0.0414
Best-Logit 2 6400 7 0.0415
Best-Logit 2 6400 8 0.0414
Best-Logit 2 6400 9 0.0413
Best-Logit 4 6400 0 0.1267
Best-Logit 4 6400 1 0.1274
Best-Logit 4 6400 2 0.1268
Best-Logit 4 6400 3 0.1264
Best-Logit 4 6400 4 0.1269
Best-Logit 4 6400 5 0.1268
Best-Logit 4 6400 6 0.1261
Best-Logit 4 6400 7 0.1267
Best-Logit 4 6400 8 0.1266
Best-Logit 4 6400 9 0.1272
Best-Logit 8 6400 0 1.9421
Best-Logit 8 6400 1 1.9531
Best-Logit 8 6400 2 1.9432
Best-Logit 8 6400 3 1.9425
Best-Logit 8 6400 4 1.9437
Best-Logit 8 6400 5 1.9468
Best-Logit 8 6400 6 1.9443
Best-Logit 8 6400 7 1.9463
Best-Logit 8 6400 8 1.9385
Best-Logit 8 6400 9 1.9406
Best-Logit 16 6400 0 200.0000
Best-Logit 16 6400 1 200.0000
Best-Logit 16 6400 2 200.0000
Best-Logit 16 6400 3 200.0000
Best-Logit 16 6400 4 200.0000
Best-Logit 16 6400 5 200.0000
Best-Logit 16 6400 6 200.0000
Best-Logit 16 6400 7 200.0000
Best-Logit 16 6400 8 200.0000
Best-Logit 16 6400 9 200.0000
Best-Logit 32 6400 0 200.0000
Best-Logit 32 6400 1 200.0000
Best-Logit 32 6400 2 200.0000
Best-Logit 32 6400 3 200.0000
Best-Logit 32 6400 4 200.0000
Best-Logit 32 6400 5 200.0000
Best-Logit 32 6400 6 200.0000
Best-Logit 32 6400 7 200.0000
Best-Logit 32 6400 8 200.0000
Best-Logit 32 6400 9 200.0000
