method vars sample time
BMA 2 200 0.0643
BMA 4 200 0.0363
BMA 8 200 0.1798
BMA 16 200 1.0988
BMA 32 200 124.0356
BMA 64 200 200.0000
BMA 2 400 0.1001
BMA 4 400 0.0370
BMA 8 400 0.1638
BMA 16 400 1.3234
BMA 32 400 200.0000
BMA 64 400 200.0000
BMA 2 800 0.0624
BMA 4 800 0.0461
BMA 8 800 0.2809
BMA 16 800 3.2572
BMA 32 800 200.0000
BMA 64 800 200.0000
BMA 2 1600 0.0863
BMA 4 1600 0.0612
BMA 8 1600 0.3903
BMA 16 1600 3.8876
BMA 32 1600 200.0000
BMA 64 1600 200.0000
BMA 2 3200 0.0530
BMA 4 3200 0.0649
BMA 8 3200 0.4120
BMA 16 3200 2.7388
BMA 32 3200 200.0000
BMA 64 3200 200.0000
BMA 2 6400 0.0233
BMA 4 6400 0.0807
BMA 8 6400 0.4885
BMA 16 6400 3.6881
BMA 32 6400 200.0000
BMA 64 6400 200.0000
BMA 2 12800 0.0339
BMA 4 12800 0.1274
BMA 8 12800 0.8097
BMA 16 12800 7.3912
BMA 32 12800 185.9206
BMA 64 12800 200.0000
BMA 2 25600 0.0523
BMA 4 25600 0.2170
BMA 8 25600 1.3805
BMA 16 25600 11.2690
BMA 32 25600 183.2144
BMA 64 25600 200.0000
