method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 2 200 0 0.000281 0.000057 0.000072 0.028071 100 100 1x 100 ok
Stacking-Online 2 200 0 0.006769 0.005847 0.006055 0.676928 100 100 1x 100 ok
BMA 2 200 1 0.000280 0.000056 0.000069 0.027985 100 100 1x 100 ok
Stacking-Online 2 200 1 0.006809 0.005876 0.005940 0.680855 100 100 1x 100 ok
BMA 2 200 2 0.000278 0.000057 0.000068 0.027786 100 100 1x 100 ok
Stacking-Online 2 200 2 0.006787 0.005894 0.005962 0.678687 100 100 1x 100 ok
BMA 2 200 3 0.000279 0.000057 0.000069 0.027949 100 100 1x 100 ok
Stacking-Online 2 200 3 0.006739 0.005854 0.005912 0.673852 100 100 1x 100 ok
BMA 2 200 4 0.000278 0.000056 0.000072 0.027757 100 100 1x 100 ok
Stacking-Online 2 200 4 0.006761 0.005873 0.005924 0.676123 100 100 1x 100 ok
BMA 2 200 5 0.000278 0.000056 0.000069 0.027815 100 100 1x 100 ok
Stacking-Online 2 200 5 0.006737 0.005862 0.005929 0.673691 100 100 1x 100 ok
BMA 2 200 6 0.000280 0.000057 0.000076 0.028028 100 100 1x 100 ok
Stacking-Online 2 200 6 0.006827 0.005890 0.005971 0.682692 100 100 1x 100 ok
BMA 2 200 7 0.000278 0.000057 0.000069 0.027756 100 100 1x 100 ok
Stacking-Online 2 200 7 0.006835 0.005864 0.005940 0.683543 100 100 1x 100 ok
BMA 2 200 8 0.000279 0.000056 0.000069 0.027858 100 100 1x 100 ok
Stacking-Online 2 200 8 0.006808 0.005876 0.005929 0.680755 100 100 1x 100 ok
BMA 2 200 9 0.000279 0.000057 0.000071 0.027937 100 100 1x 100 ok
Stacking-Online 2 200 9 0.006733 0.005858 0.005920 0.673252 100 100 1x 100 ok
BMA 4 200 0 0.000501 0.000058 0.000067 0.050073 100 100 1x 100 ok
Stacking-Online 4 200 0 0.009223 0.008285 0.009068 0.922287 100 100 1x 100 ok
BMA 4 200 1 0.000499 0.000057 0.000065 0.049890 100 100 1x 100 ok
Stacking-Online 4 200 1 0.009233 0.008290 0.008966 0.923320 100 100 1x 100 ok
BMA 4 200 2 0.000499 0.000056 0.000067 0.049886 100 100 1x 100 ok
Stacking-Online 4 200 2 0.009261 0.008293 0.008961 0.926096 100 100 1x 100 ok
BMA 4 200 3 0.000500 0.000056 0.000069 0.049973 100 100 1x 100 ok
Stacking-Online 4 200 3 0.009293 0.008292 0.008544 0.929286 100 100 1x 100 ok
BMA 4 200 4 0.000502 0.000056 0.000069 0.050215 100 100 1x 100 ok
Stacking-Online 4 200 4 0.009213 0.008289 0.008351 0.921288 100 100 1x 100 ok
BMA 4 200 5 0.000499 0.000057 0.000068 0.049882 100 100 1x 100 ok
Stacking-Online 4 200 5 0.009127 0.008237 0.008300 0.912749 100 100 1x 100 ok
BMA 4 200 6 0.000503 0.000058 0.000066 0.050273 100 100 1x 100 ok
Stacking-Online 4 200 6 0.009294 0.008304 0.008380 0.929415 100 100 1x 100 ok
BMA 4 200 7 0.000499 0.000056 0.000070 0.049900 100 100 1x 100 ok
Stacking-Online 4 200 7 0.008307 0.008281 0.008346 0.830693 100 100 1x 100 ok
BMA 4 200 8 0.000499 0.000057 0.000072 0.049942 100 100 1x 100 ok
Stacking-Online 4 200 8 0.009395 0.008291 0.009050 0.939540 100 100 1x 100 ok
BMA 4 200 9 0.000500 0.000057 0.000068 0.049989 100 100 1x 100 ok
Stacking-Online 4 200 9 0.009242 0.008298 0.008374 0.924188 100 100 1x 100 ok
BMA 8 200 0 0.001948 0.000057 0.000068 0.194836 100 100 1x 100 ok
Stacking-Online 8 200 0 0.019812 0.019778 0.019878 1.981193 100 100 1x 100 ok
BMA 8 200 1 0.001942 0.000057 0.000070 0.194197 100 100 1x 100 ok
Stacking-Online 8 200 1 0.019811 0.019791 0.019857 1.981138 100 100 1x 100 ok
BMA 8 200 2 0.001944 0.000056 0.000068 0.194357 100 100 1x 100 ok
Stacking-Online 8 200 2 0.019660 0.019630 0.019714 1.966021 100 100 1x 100 ok
BMA 8 200 3 0.001938 0.000057 0.000070 0.193847 100 100 1x 100 ok
Stacking-Online 8 200 3 0.019674 0.019651 0.019760 1.967437 100 100 1x 100 ok
BMA 8 200 4 0.001942 0.000057 0.000068 0.194188 100 100 1x 100 ok
Stacking-Online 8 200 4 0.019702 0.019673 0.019744 1.970248 100 100 1x 100 ok
BMA 8 200 5 0.002008 0.000056 0.000069 0.200818 100 100 1x 100 ok
Stacking-Online 8 200 5 0.019668 0.019640 0.019733 1.966795 100 100 1x 100 ok
BMA 8 200 6 0.001945 0.000056 0.000067 0.194456 100 100 1x 100 ok
Stacking-Online 8 200 6 0.019354 0.019333 0.019388 1.935394 100 100 1x 100 ok
BMA 8 200 7 0.001949 0.000057 0.000069 0.194939 100 100 1x 100 ok
Stacking-Online 8 200 7 0.019442 0.019401 0.019467 1.944206 100 100 1x 100 ok
BMA 8 200 8 0.001954 0.000058 0.000068 0.195381 100 100 1x 100 ok
Stacking-Online 8 200 8 0.019611 0.019568 0.019644 1.961059 100 100 1x 100 ok
BMA 8 200 9 0.001943 0.000056 0.000068 0.194258 100 100 1x 100 ok
Stacking-Online 8 200 9 0.019676 0.019653 0.019716 1.967585 100 100 1x 100 ok
BMA 16 200 0 0.012077 0.000057 0.000068 1.207736 100 100 1x 100 ok
Stacking-Online 16 200 0 0.053793 0.053734 0.054184 5.379280 100 100 1x 100 ok
BMA 16 200 1 0.012080 0.000057 0.000071 1.208049 100 100 1x 100 ok
Stacking-Online 16 200 1 0.053864 0.053823 0.053955 5.386394 100 100 1x 100 ok
BMA 16 200 2 0.012059 0.000058 0.000069 1.205854 100 100 1x 100 ok
Stacking-Online 16 200 2 0.054155 0.054113 0.054429 5.415466 100 100 1x 100 ok
BMA 16 200 3 0.012092 0.000058 0.000069 1.209219 100 100 1x 100 ok
Stacking-Online 16 200 3 0.054201 0.054185 0.054286 5.420119 100 100 1x 100 ok
BMA 16 200 4 0.012046 0.000056 0.000067 1.204559 100 100 1x 100 ok
Stacking-Online 16 200 4 0.054004 0.053974 0.054134 5.400419 100 100 1x 100 ok
BMA 16 200 5 0.012039 0.000057 0.000067 1.203885 100 100 1x 100 ok
Stacking-Online 16 200 5 0.054011 0.053967 0.054282 5.401104 100 100 1x 100 ok
BMA 16 200 6 0.011900 0.000056 0.000066 1.189977 100 100 1x 100 ok
Stacking-Online 16 200 6 0.054164 0.054083 0.054803 5.416375 100 100 1x 100 ok
BMA 16 200 7 0.012036 0.000057 0.000068 1.203551 100 100 1x 100 ok
Stacking-Online 16 200 7 0.053951 0.053927 0.054082 5.395109 100 100 1x 100 ok
BMA 16 200 8 0.011875 0.000056 0.000067 1.187458 100 100 1x 100 ok
Stacking-Online 16 200 8 0.053988 0.053963 0.054100 5.398829 100 100 1x 100 ok
BMA 16 200 9 0.012056 0.000057 0.000069 1.205642 100 100 1x 100 ok
Stacking-Online 16 200 9 0.054028 0.053990 0.054166 5.402768 100 100 1x 100 ok
BMA 32 200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 0 0.545271 0.545521 0.548665 54.527088 100 100 1x 100 ok
BMA 32 200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 1 0.547886 0.547731 0.549715 54.788617 100 100 1x 100 ok
BMA 32 200 2 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 2 0.547751 0.547630 0.551102 54.775122 100 100 1x 100 ok
BMA 32 200 3 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 3 0.546206 0.546077 0.549747 54.620611 100 100 1x 100 ok
BMA 32 200 4 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 4 0.546449 0.546579 0.548989 54.644885 100 100 1x 100 ok
BMA 32 200 5 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 5 0.543172 0.543275 0.545843 54.317230 100 100 1x 100 ok
BMA 32 200 6 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 6 0.543141 0.543573 0.545913 54.314133 100 100 1x 100 ok
BMA 32 200 7 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 7 0.547223 0.546778 0.553256 54.722318 100 100 1x 100 ok
BMA 32 200 8 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 8 0.542198 0.542126 0.546358 54.219780 100 100 1x 100 ok
BMA 32 200 9 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 32 200 9 0.544686 0.544872 0.548152 54.468644 100 100 1x 100 ok
BMA 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
Stacking-Online 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
BMA 64 200 1 200.000000 200.000000 200.000000 200.000000 0 0 1x 100 timeout
