method vars sample time
Stacking 2 200 0.2218
Stacking 4 200 0.1776
Stacking 8 200 0.5044
Stacking 16 200 1.3723
Stacking 32 200 69.8959
Stacking 64 200 200.0000
Stacking 2 400 0.1530
Stacking 4 400 0.2493
Stacking 8 400 0.6283
Stacking 16 400 4.0350
Stacking 32 400 56.4130
Stacking 64 400 200.0000
Stacking 2 800 0.2647
Stacking 4 800 0.2680
Stacking 8 800 1.2666
Stacking 16 800 5.8806
Stacking 32 800 198.3832
Stacking 64 800 131.6776
Stacking 2 1600 0.1762
Stacking 4 1600 0.2736
Stacking 8 1600 1.7282
Stacking 16 1600 6.3819
Stacking 32 1600 46.8540
Stacking 64 1600 117.5020
Stacking 2 3200 0.3263
Stacking 4 3200 0.3524
Stacking 8 3200 1.7349
Stacking 16 3200 8.9856
Stacking 32 3200 40.2733
Stacking 64 3200 84.3630
Stacking 2 6400 0.3339
Stacking 4 6400 0.7062
Stacking 8 6400 2.6043
Stacking 16 6400 11.9506
Stacking 32 6400 30.0727
Stacking 64 6400 72.2293
Stacking 2 12800 0.3905
Stacking 4 12800 0.9115
Stacking 8 12800 4.1624
Stacking 16 12800 15.8563
Stacking 32 12800 52.3769
Stacking 64 12800 136.7494
Stacking 2 25600 0.6779
Stacking 4 25600 1.6550
Stacking 8 25600 7.3501
Stacking 16 25600 25.7610
Stacking 32 25600 71.7007
Stacking 64 25600 200.0000
