type	model	RE	success
Stacking	Stacking	0.056592859163815824	TRUE
Stacking	Stacking	0.011634419292115781	TRUE
Stacking	Stacking	0.0036960152577137978	TRUE
Stacking	Stacking	0.05343588206622418	TRUE
Stacking	Stacking	0.04881502863184143	FALSE
Stacking	Stacking	0.017984031588910595	FALSE
Stacking	Stacking	0.04831445629467372	TRUE
Stacking	Stacking	0.059801952876446046	TRUE
Stacking	Stacking	0.0007359041231261029	TRUE
Stacking	Stacking	0.029452192350171165	TRUE
Stacking	Stacking	0.008238521744340881	TRUE
Stacking	Stacking	0.004078470177905613	TRUE
Stacking	Stacking	0.007296524451567563	TRUE
Stacking	Stacking	0.02406354588621253	TRUE
Stacking	Stacking	0.00479833427238758	TRUE
Stacking	Stacking	0.00980335420036127	TRUE
Stacking	Stacking	0.0003568052307414315	TRUE
Stacking	Stacking	0.05708330993799802	TRUE
Stacking	Stacking	0.018736747964673738	TRUE
Stacking	Stacking	0.0006243197771198156	FALSE
Stacking	Stacking	0.06399472720140421	FALSE
Stacking	Stacking	0.11086709666844893	FALSE
Stacking	Stacking	0.020203095095069675	TRUE
Stacking	Stacking	0.06237354551418556	FALSE
Stacking	Stacking	0.03210709599366107	TRUE
Stacking	Stacking	0.04005182974569236	TRUE
Stacking	Stacking	0.011300705403690115	TRUE
Stacking	Stacking	0.023599877554198897	FALSE
Stacking	Stacking	0.01714241273437624	TRUE
Stacking	Stacking	0.06376457038180526	FALSE
Stacking	Stacking	0.05172716249283017	TRUE
Stacking	Stacking	0.03422617116684129	TRUE
Stacking	Stacking	0.010567006576808795	FALSE
Stacking	Stacking	0.008292828432231225	TRUE
Stacking	Stacking	0.0010351110602431505	TRUE
Stacking	Stacking	0.0017926873915453554	TRUE
Stacking	Stacking	0.014195134009083824	FALSE
Stacking	Stacking	0.019326774337539133	TRUE
Stacking	Stacking	0.04870251985184302	TRUE
Stacking	Stacking	0.09769700389435089	FALSE
Stacking	Stacking	0.031501743344466086	TRUE
Stacking	Stacking	0.035519219126871386	FALSE
Stacking	Stacking	0.007550941357601087	TRUE
Stacking	Stacking	0.023199417112255684	TRUE
Stacking	Stacking	0.023630465860194263	TRUE
Stacking	Stacking	0.014487906431675544	TRUE
Stacking	Stacking	0.003928028495413171	TRUE
