method vars sample time
Stacking 2 200 0.0203
Stacking 4 200 0.0619
Stacking 8 200 0.2136
Stacking 16 200 0.4560
Stacking 32 200 27.2953
Stacking 64 200 178.6858
Stacking 2 400 0.0212
Stacking 4 400 0.0491
Stacking 8 400 0.1181
Stacking 16 400 1.5027
Stacking 32 400 19.9156
Stacking 64 400 102.0571
Stacking 2 800 0.0518
Stacking 4 800 0.1316
Stacking 8 800 0.5085
Stacking 16 800 2.3453
Stacking 32 800 84.9160
Stacking 64 800 85.5962
Stacking 2 1600 0.1048
Stacking 4 1600 0.1495
Stacking 8 1600 0.7081
Stacking 16 1600 3.4068
Stacking 32 1600 24.7634
Stacking 64 1600 61.8995
Stacking 2 3200 0.1413
Stacking 4 3200 0.2330
Stacking 8 3200 0.6544
Stacking 16 3200 5.1830
Stacking 32 3200 18.9210
Stacking 64 3200 58.7274
Stacking 2 6400 0.0936
Stacking 4 6400 0.3434
Stacking 8 6400 1.3984
Stacking 16 6400 6.4022
Stacking 32 6400 18.7879
Stacking 64 6400 57.9927
Stacking 2 12800 0.1860
Stacking 4 12800 0.5247
Stacking 8 12800 1.8489
Stacking 16 12800 7.5108
Stacking 32 12800 28.4202
Stacking 64 12800 85.2963
Stacking 2 25600 0.3254
Stacking 4 25600 0.7328
Stacking 8 25600 3.0887
Stacking 16 25600 14.1437
Stacking 32 25600 50.1485
Stacking 64 25600 142.6652
