method vars sample run_id time
Best-Logit 2 200 0 0.0268
Best-Logit 4 200 0 0.0728
Best-Logit 8 200 0 1.0211
Best-Logit 16 200 0 200.0000
Best-Logit 32 200 0 200.0000
Best-Logit 64 200 0 200.0000
Best-Logit 2 6400 0 0.0418
Best-Logit 4 6400 0 0.1279
Best-Logit 8 6400 0 1.9301
Best-Logit 16 6400 0 200.0000
Best-Logit 32 6400 0 200.0000
Best-Logit 64 6400 0 200.0000
Best-Logit 2 12800 0 0.0580
Best-Logit 4 12800 0 0.1802
Best-Logit 8 12800 0 2.8617
Best-Logit 16 12800 0 200.0000
Best-Logit 32 12800 0 200.0000
Best-Logit 64 12800 0 200.0000
Best-Logit 2 25600 0 0.0846
Best-Logit 4 25600 0 0.2864
Best-Logit 8 25600 0 4.7923
Best-Logit 16 25600 0 200.0000
Best-Logit 32 25600 0 200.0000
Best-Logit 64 25600 0 200.0000
Best-Logit 2 400 0 0.0277
Best-Logit 4 400 0 0.0767
Best-Logit 8 400 0 1.0935
Best-Logit 16 400 0 200.0000
Best-Logit 32 400 0 200.0000
Best-Logit 64 400 0 200.0000
Best-Logit 2 800 0 0.0280
Best-Logit 4 800 0 0.0788
Best-Logit 8 800 0 1.1207
Best-Logit 16 800 0 200.0000
Best-Logit 32 800 0 200.0000
Best-Logit 64 800 0 200.0000
Best-Logit 2 1600 0 0.0327
Best-Logit 4 1600 0 0.0865
Best-Logit 8 1600 0 1.2670
Best-Logit 16 1600 0 200.0000
Best-Logit 32 1600 0 200.0000
Best-Logit 64 1600 0 200.0000
Best-Logit 2 3200 0 0.0355
Best-Logit 4 3200 0 0.1013
Best-Logit 8 3200 0 1.4941
Best-Logit 16 3200 0 200.0000
Best-Logit 32 3200 0 200.0000
Best-Logit 64 3200 0 200.0000
