method vars sample run_id time median p95 total stream warmup drift retrain_every status
BMA 2 200 0 0.000279 0.000058 0.000070 0.027892 100 100 6x 100 ok
Stacking-Online 2 200 0 0.005951 0.005930 0.005966 0.595104 100 100 6x 100 ok
BMA 4 200 0 0.000540 0.000056 0.000071 0.054032 100 100 6x 100 ok
Stacking-Online 4 200 0 0.008361 0.008340 0.008402 0.836136 100 100 6x 100 ok
BMA 8 200 0 0.001489 0.000057 0.000065 0.148892 100 100 6x 100 ok
Stacking-Online 8 200 0 0.019810 0.019769 0.019948 1.981010 100 100 6x 100 ok
BMA 16 200 0 0.009805 0.000055 0.000068 0.980488 100 100 6x 100 ok
Stacking-Online 16 200 0 0.053195 0.053158 0.053416 5.319480 100 100 6x 100 ok
BMA 32 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 200 0 0.539155 0.538206 0.541070 53.915496 100 100 6x 100 ok
BMA 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 400 0 0.000326 0.000055 0.000068 0.065256 200 200 6x 100 ok
Stacking-Online 2 400 0 0.004821 0.004809 0.004844 0.964159 200 200 6x 100 ok
BMA 4 400 0 0.000562 0.000055 0.000067 0.112423 200 200 6x 100 ok
Stacking-Online 4 400 0 0.006677 0.006659 0.006771 1.335450 200 200 6x 100 ok
BMA 8 400 0 0.001456 0.000056 0.000070 0.291160 200 200 6x 100 ok
Stacking-Online 8 400 0 0.012524 0.012506 0.012556 2.504787 200 200 6x 100 ok
BMA 16 400 0 0.006240 0.000063 0.000073 1.248048 200 200 6x 100 ok
Stacking-Online 16 400 0 0.024335 0.024322 0.024377 4.867018 200 200 6x 100 ok
BMA 32 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 400 0 0.524236 0.523817 0.527418 104.847133 200 200 6x 100 ok
BMA 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 400 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 800 0 0.000425 0.000057 0.000070 0.170016 400 400 6x 100 ok
Stacking-Online 2 800 0 0.005003 0.004777 0.005083 2.001099 400 400 6x 100 ok
BMA 4 800 0 0.000647 0.000058 0.000071 0.258716 400 400 6x 100 ok
Stacking-Online 4 800 0 0.007842 0.007667 0.007712 3.136672 400 400 6x 100 ok
BMA 8 800 0 0.001634 0.000059 0.000072 0.653770 400 400 6x 100 ok
Stacking-Online 8 800 0 0.014262 0.014246 0.014301 5.704763 400 400 6x 100 ok
BMA 16 800 0 0.007571 0.000061 0.000070 3.028222 400 400 6x 100 ok
Stacking-Online 16 800 0 0.053274 0.052117 0.052343 21.309606 400 400 6x 100 ok
BMA 32 800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 800 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 1600 0 0.000690 0.000053 0.000066 0.552191 800 800 6x 100 ok
Stacking-Online 2 1600 0 0.004783 0.004781 0.004798 3.826308 800 800 6x 100 ok
BMA 4 1600 0 0.000951 0.000053 0.000065 0.760849 800 800 6x 100 ok
Stacking-Online 4 1600 0 0.007715 0.007713 0.007736 6.171935 800 800 6x 100 ok
BMA 8 1600 0 0.002644 0.000054 0.000066 2.115164 800 800 6x 100 ok
Stacking-Online 8 1600 0 0.022246 0.022174 0.022221 17.796581 800 800 6x 100 ok
BMA 16 1600 0 0.010933 0.000061 0.000069 8.746685 800 800 6x 100 ok
Stacking-Online 16 1600 0 0.066551 0.064695 0.064925 53.240942 800 800 6x 100 ok
BMA 32 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 1600 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 3200 0 0.001105 0.000056 0.000068 1.768488 1600 1600 6x 100 ok
Stacking-Online 2 3200 0 0.005766 0.005431 0.005452 9.225389 1600 1600 6x 100 ok
BMA 4 3200 0 0.001565 0.000055 0.000066 2.503652 1600 1600 6x 100 ok
Stacking-Online 4 3200 0 0.008162 0.007853 0.007877 13.058566 1600 1600 6x 100 ok
BMA 8 3200 0 0.003893 0.000055 0.000067 6.228008 1600 1600 6x 100 ok
Stacking-Online 8 3200 0 0.025859 0.025208 0.026607 41.374660 1600 1600 6x 100 ok
BMA 16 3200 0 0.026578 0.000057 0.000067 42.525506 1600 1600 6x 100 ok
Stacking-Online 16 3200 0 0.058229 0.057707 0.057818 93.166772 1600 1600 6x 100 ok
BMA 32 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 32 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 64 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
Stacking-Online 64 3200 0 200.000000 200.000000 200.000000 200.000000 0 0 6x 100 timeout
BMA 2 6400 0 0.001939 0.000055 0.000067 6.204320 3200 3200 6x 100 ok
Stacking-Online 2 6400 0 0.005469 0.005466 0.005482 17.499751 3200 3200 6x 100 ok
BMA 4 6400 0 0.002461 0.000055 0.000067 7.875094 3200 3200 6x 100 ok
Stacking-Online 4 6400 0 0.007882 0.007880 0.007908 25.223460 3200 3200 6x 100 ok
BMA 8 6400 0 0.005715 0.000055 0.000068 18.288453 3200 3200 6x 100 ok
Stacking-Online 8 6400 0 0.021006 0.020926 0.022098 67.218742 3200 3200 6x 100 ok
